firm,col_1,col_2,col_3,col_4
Barclays,1.3,9.9,0.3,3.6
HSBC,0.8,3.1,0.9,7.7
Lloyds Banking Group,8.8,10.4,1.2,4.7
Nationwide,2.0,1.3,–,–
The Royal Bank of Scotland Group,1.5,3.9,0.6,6.1
Santander UK,2.3,2.5,0.4,1.8
Standard Chartered,–,–,–,0.1
