quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,PPP-weighted World real GDP,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial real estate price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,South Africa real GDP,period_kind
Q4 2012,428321.0,424929.0,97.3,7.8,196639.8,297799.0,76.5,,,,81.2,0.5,210.3,599.3,0.9,1.2,-2.8,88.0,110.5,16.8,107.4,129.4,94.5,96.2,94.0,65.1,98.1,11.8,0.0,94.7,90.5,91.6,7.8,64.8,0.3,77.8,67.5,154.2,542.2,75.7,11.4,58.0,90.2,3.3,73.8,88.9,75.6,87.6,94.4,history
Q1 2013,431025.0,429001.0,97.7,7.9,199275.3,297757.0,77.3,,,,87.9,0.5,192.1,512.8,0.7,2.4,-2.7,88.7,112.8,13.6,102.1,125.1,94.3,96.1,93.9,64.7,97.9,12.0,0.0,94.0,90.3,92.2,7.7,69.2,0.3,79.8,68.8,145.3,484.0,77.1,6.0,62.5,91.0,3.5,77.6,95.8,76.9,88.8,94.9,history
Q2 2013,433271.0,431909.0,98.4,7.7,195880.4,304196.0,78.3,,,,90.3,0.5,175.2,496.2,0.8,3.3,-3.4,89.4,103.0,14.8,102.1,123.7,94.7,96.8,94.7,65.3,98.8,12.1,0.0,93.7,90.3,92.4,7.5,73.6,0.3,82.3,72.4,148.6,465.3,78.4,5.8,65.2,91.4,3.4,78.8,98.0,78.1,90.8,96.1,history
Q3 2013,436560.0,438341.0,98.7,7.6,202814.0,308032.0,80.1,,,,92.2,0.5,169.3,488.0,0.9,4.4,-2.0,90.1,110.0,14.4,101.6,124.9,95.0,96.8,95.2,67.6,98.6,12.0,0.0,93.6,90.0,93.1,7.3,76.5,0.3,84.4,76.2,153.8,468.5,80.1,11.5,68.0,91.9,3.4,80.3,99.4,79.3,91.2,96.2,history
Q4 2013,438707.0,440312.0,99.3,7.2,202751.6,309714.0,82.1,,,,93.8,0.5,147.9,423.1,1.1,4.9,-0.3,90.9,109.4,14.2,103.2,130.5,95.2,97.0,95.5,66.3,98.9,11.9,0.0,93.5,89.8,94.0,6.9,81.0,0.3,86.2,78.0,141.5,429.9,81.4,7.9,68.8,92.8,3.3,80.2,99.1,81.0,92.7,97.7,history
Q1 2014,442615.9,446657.0,99.4,6.8,207816.1,311898.0,84.3,,,,95.4,0.5,138.8,358.3,1.4,5.4,-1.3,91.7,107.9,14.8,104.8,133.4,95.5,97.0,96.1,68.9,98.5,11.9,0.0,93.6,90.2,93.7,6.7,83.9,0.3,87.6,78.1,124.2,393.5,82.7,9.8,70.2,93.6,3.1,79.8,99.8,82.0,93.1,97.0,history
Q2 2014,446794.2,454849.0,100.1,6.3,216005.0,317180.0,86.3,,,,96.0,0.5,132.5,327.4,1.7,5.7,0.3,92.5,109.8,12.7,106.5,135.6,95.7,97.2,96.0,71.1,99.4,11.6,-0.1,94.0,90.9,94.6,6.2,86.9,0.3,88.1,81.5,112.2,364.6,84.2,9.3,69.8,93.5,3.2,80.9,100.7,83.6,93.5,97.3,history
Q3 2014,450676.8,459678.0,100.1,6.0,218784.5,318715.0,88.1,,,,95.7,0.5,134.5,374.7,1.9,6.1,0.0,93.2,102.2,13.0,109.3,134.5,96.0,97.5,96.3,72.7,99.0,11.5,-0.2,94.3,92.0,95.8,6.1,90.4,0.3,88.8,83.4,111.7,389.2,85.7,8.8,67.9,94.8,3.3,85.4,101.7,85.1,94.0,98.0,history
Q4 2014,454196.6,461296.0,100.2,5.7,217221.9,321384.0,88.8,,,,92.8,0.5,146.4,441.6,1.9,6.6,-1.5,94.0,75.8,16.0,110.0,127.5,96.5,97.7,97.0,73.3,99.1,11.4,-0.2,94.4,91.9,96.3,5.7,92.0,0.3,90.1,86.1,133.1,468.7,87.3,7.9,66.6,95.2,3.3,89.7,102.6,86.6,96.0,99.2,history
Q1 2015,456117.9,462745.0,99.5,5.6,217391.2,319907.0,90.1,,,,97.1,0.5,136.1,412.9,1.9,7.1,0.0,94.7,53.9,16.6,116.8,122.0,97.2,98.3,97.2,88.3,98.2,11.2,-0.2,94.8,92.7,96.8,5.5,94.4,0.3,91.3,89.1,142.5,489.8,89.0,8.3,67.4,95.8,3.3,94.5,103.8,88.0,95.3,99.5,history
Q2 2015,458389.3,469585.0,100.1,5.6,222217.8,323221.0,92.0,,,,99.8,0.5,135.3,375.9,2.0,7.7,-0.5,95.5,62.1,13.7,120.2,123.5,97.6,98.3,97.7,89.2,99.6,11.0,-0.2,95.2,95.4,97.4,5.4,96.1,0.3,92.0,90.4,136.2,460.1,90.6,7.9,71.9,96.4,3.3,97.8,106.5,90.1,95.4,98.8,history
Q3 2015,460337.5,469289.0,100.1,5.3,219480.5,326566.0,93.3,,,,93.1,0.5,159.9,414.7,2.3,8.2,0.2,96.2,50.2,19.4,120.9,124.8,97.9,98.6,97.9,90.2,99.1,10.7,-0.2,95.7,96.0,97.9,5.1,92.7,0.3,92.9,92.7,161.3,553.6,92.2,8.9,77.4,96.9,3.3,99.8,110.0,91.8,96.0,98.8,history
Q4 2015,463265.2,471095.0,100.3,5.1,219829.2,328781.0,94.8,,,,91.5,0.5,172.9,444.6,2.8,8.7,1.0,96.9,43.3,17.0,120.2,122.2,98.4,98.9,98.3,93.8,99.3,10.5,-0.3,96.5,97.2,98.1,5.0,93.9,0.3,94.7,94.4,168.2,642.0,93.6,7.5,80.1,97.0,3.3,96.0,109.4,93.3,97.2,99.1,history
Q1 2016,465442.6,478085.0,99.8,5.1,225423.2,330851.0,96.9,,,,87.6,0.5,199.4,531.6,3.4,9.7,2.2,97.6,34.5,20.5,112.7,115.3,98.9,99.5,99.0,91.8,98.3,10.3,-0.4,97.4,98.0,98.3,4.9,89.3,0.5,96.1,94.5,193.8,757.9,94.8,8.0,87.4,96.7,3.3,89.8,104.6,95.4,97.1,98.8,history
Q2 2016,468263.1,483971.0,100.4,4.9,226003.8,333802.0,98.0,,,,90.5,0.5,177.3,509.6,3.3,10.3,3.8,98.3,46.0,15.6,110.3,115.6,99.2,99.4,99.4,92.5,99.5,10.1,-0.4,98.2,98.7,98.7,4.9,94.9,0.5,96.6,96.4,158.3,633.0,96.6,8.1,92.9,98.0,3.4,90.0,100.1,96.7,97.2,99.7,history
Q3 2016,470969.7,487915.0,100.9,4.8,226382.6,335825.0,98.4,,,,97.7,0.3,153.8,511.1,3.2,10.4,3.8,99.1,45.8,13.2,102.1,105.8,99.6,99.6,99.6,96.2,99.3,9.9,-0.4,99.1,99.3,99.5,4.9,98.9,0.5,97.7,98.8,145.7,535.9,98.3,7.2,100.4,98.8,3.4,94.3,100.0,98.4,97.1,99.9,history
Q4 2016,473983.9,494885.9,101.5,4.8,231998.9,339118.6,100.0,100.0,100.0,100.0,100.0,0.3,151.3,469.4,3.1,10.6,3.2,100.0,50.1,14.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.7,-0.4,100.0,100.0,100.0,4.7,100.0,0.5,100.0,100.0,135.0,463.4,100.0,7.8,100.0,100.0,3.3,100.0,100.0,100.0,100.0,100.0,year_zero
Q1 2017,472040.1,501537.8,101.6,5.2,237255.4,343585.4,99.6,99.8,99.7,99.8,68.8,0.3,263.2,1110.9,2.8,10.2,1.9,99.6,40.0,31.8,92.6,90.9,99.6,99.6,99.6,99.5,99.3,10.3,-0.4,99.5,99.7,99.8,5.2,76.7,0.5,98.8,98.1,287.0,923.3,99.2,6.2,92.9,99.5,4.2,92.0,91.3,100.5,99.2,99.0,projection
Q2 2017,465083.8,493746.0,102.8,6.1,230021.2,334618.6,96.1,96.3,95.7,96.8,61.8,1.0,319.1,1431.5,2.8,8.4,-0.1,98.9,29.0,42.2,81.3,76.9,98.5,98.8,98.4,98.2,99.9,11.2,-0.4,97.7,97.5,98.6,5.8,64.7,0.3,96.5,93.9,363.0,1153.2,99.1,4.6,86.0,96.9,5.2,84.0,82.7,101.1,96.0,98.1,projection
Q3 2017,454330.7,477603.2,103.9,7.6,219437.7,326266.3,92.4,89.6,88.1,91.2,57.6,2.5,375.1,1752.2,2.0,5.1,-3.8,97.9,24.0,42.2,77.5,72.2,97.0,97.7,96.7,96.2,99.3,12.6,-0.4,96.3,93.4,96.9,7.0,58.4,0.3,94.0,88.4,439.0,1383.1,98.9,3.1,79.3,93.2,5.9,76.8,74.0,101.6,93.9,97.1,projection
Q4 2017,451896.2,473293.5,105.3,8.6,216331.3,330886.7,88.9,80.9,78.1,83.8,55.2,4.0,431.0,2072.8,0.9,0.3,-6.8,97.6,24.0,35.4,74.3,68.3,96.4,97.2,96.1,95.7,99.7,13.2,-0.4,94.3,87.8,96.5,7.8,54.4,0.3,91.4,82.1,515.0,1613.0,98.8,1.5,72.6,92.1,6.6,69.4,65.4,102.2,92.8,96.2,projection
Q1 2018,452012.7,475705.0,106.1,9.3,219522.1,333000.2,85.2,70.0,65.5,74.5,60.1,4.0,413.1,1976.9,-0.3,-3.8,-9.4,98.1,24.0,31.5,74.2,68.2,96.4,97.2,96.1,96.1,99.0,13.3,-0.4,92.5,80.4,96.5,8.7,56.9,0.3,89.0,75.0,491.9,1546.4,99.7,1.6,70.1,92.3,7.0,66.4,62.3,104.1,93.2,96.5,projection
Q2 2018,452581.1,482305.0,107.9,9.5,225613.5,337892.4,81.6,60.0,54.0,66.0,63.5,4.0,395.1,1880.9,-0.8,-4.7,-10.0,98.7,24.0,28.7,74.3,68.3,96.6,97.3,96.2,96.6,99.9,13.2,-0.4,90.7,73.2,96.6,8.9,58.9,0.3,86.6,68.8,468.9,1479.8,100.6,1.6,67.7,92.6,7.2,63.4,59.1,106.0,93.5,96.9,projection
Q3 2018,453608.9,487868.4,109.2,9.5,229013.6,342020.4,77.9,60.0,54.0,66.0,65.6,4.0,377.2,1785.0,-1.1,-5.2,-8.6,99.4,24.0,26.5,74.4,68.4,96.8,97.6,96.5,97.2,99.5,13.1,-0.4,88.8,73.2,96.9,9.1,60.7,0.3,84.4,67.2,445.8,1413.2,101.6,1.7,65.3,92.9,7.1,61.0,56.0,107.9,93.8,97.2,projection
Q4 2018,455160.9,493880.4,110.7,9.5,230876.4,347355.2,74.3,60.5,54.5,66.6,67.4,4.0,359.2,1689.0,-0.8,-4.8,-6.9,100.0,24.0,24.7,74.4,68.5,97.1,97.9,96.7,98.0,99.9,13.0,-0.4,86.9,73.6,97.2,9.1,62.4,0.3,82.5,67.0,422.8,1346.5,102.5,1.7,62.8,93.1,6.7,58.5,52.9,109.8,94.1,97.6,projection
Q1 2019,456671.2,500093.5,111.4,9.4,232855.1,352387.5,70.7,61.3,55.2,67.5,69.3,4.0,341.3,1593.1,-0.3,-4.2,-6.5,100.9,25.8,23.2,75.0,69.1,97.4,98.3,97.1,98.8,99.5,12.8,-0.4,84.9,74.1,97.6,8.9,64.2,0.3,80.8,67.1,399.7,1279.9,103.8,2.6,60.3,93.6,6.3,55.6,49.9,112.0,94.7,98.1,projection
Q2 2019,458191.1,505665.4,112.9,9.2,233535.8,357673.1,67.1,62.1,55.9,68.3,71.0,4.0,323.3,1497.1,0.2,-3.5,-6.0,101.7,27.5,21.9,75.4,69.7,97.7,98.6,97.3,99.6,100.6,12.7,-0.4,82.8,74.7,97.9,8.7,66.1,0.3,79.4,67.5,376.7,1213.3,105.0,3.4,57.8,94.2,5.9,52.7,46.9,114.2,95.2,98.6,projection
Q3 2019,459618.6,509954.9,113.6,9.0,234190.5,361453.2,67.0,62.9,56.6,69.2,72.7,4.0,305.4,1401.1,0.6,-1.4,-5.6,102.5,29.3,20.8,76.0,70.4,97.9,99.0,97.6,100.4,100.4,12.6,-0.4,82.8,75.3,98.2,8.6,68.0,0.3,79.3,68.2,353.6,1146.7,106.3,4.2,55.1,94.7,5.4,50.4,43.8,116.4,95.8,99.2,projection
Q4 2019,460952.3,513702.9,114.3,8.9,233862.5,365300.6,67.7,63.8,57.4,70.2,74.3,4.0,287.4,1305.2,1.1,-0.1,-5.1,103.3,31.0,19.7,76.5,71.0,98.1,99.3,97.8,101.1,101.1,12.5,-0.4,83.1,75.8,98.6,8.3,69.9,0.3,79.6,69.1,330.6,1080.1,107.6,5.0,56.6,95.2,5.1,53.3,47.4,118.7,96.3,99.7,projection
Q1 2020,462094.2,517501.5,114.3,8.7,234062.4,369078.7,68.6,64.7,58.2,71.2,76.0,4.0,269.5,1209.2,1.7,0.7,-4.7,104.1,32.8,18.8,77.0,71.7,98.3,99.6,97.9,101.7,100.8,12.4,-0.4,83.6,76.4,98.8,8.0,72.0,0.3,80.1,70.0,307.5,1013.5,108.8,5.2,58.2,95.6,4.9,55.8,51.0,120.9,96.6,100.1,projection
Q2 2020,463085.4,521476.7,115.3,8.5,234516.9,372491.3,69.4,65.6,59.0,72.2,77.6,4.0,251.6,1113.3,2.2,1.3,-4.2,104.8,34.5,18.8,77.5,72.3,98.5,100.0,98.1,102.3,102.0,12.4,-0.4,84.1,77.1,99.1,7.8,74.1,0.3,80.7,70.9,284.5,946.9,110.1,5.5,59.7,95.9,4.8,58.2,54.6,123.2,97.0,100.5,projection
Q3 2020,464073.7,525015.7,115.9,8.4,234587.2,376156.4,70.4,66.6,59.9,73.3,79.2,3.9,233.6,1017.3,2.6,1.9,-3.7,105.6,36.3,18.8,78.1,73.0,98.7,100.3,98.3,102.9,101.9,12.3,-0.4,84.6,77.7,99.4,7.5,76.4,0.3,81.5,71.9,261.4,880.2,111.3,5.7,61.3,96.3,4.7,61.2,58.2,125.5,97.3,101.0,projection
Q4 2020,465172.8,528754.3,116.6,8.2,234783.0,379861.7,71.4,67.6,60.8,74.4,80.8,3.8,215.7,921.3,2.8,2.5,-3.3,106.4,38.0,18.8,78.6,73.6,98.9,100.6,98.4,103.6,102.6,12.2,-0.4,85.2,78.3,99.7,7.2,78.8,0.3,82.4,72.8,238.3,813.6,112.6,6.0,62.8,96.6,4.5,64.1,61.9,127.7,97.6,101.4,projection
Q1 2021,466421.8,532569.7,116.6,8.0,234907.5,382424.3,72.2,68.6,61.7,75.4,82.2,3.6,197.7,825.4,3.0,3.2,-2.8,107.3,39.8,18.8,79.1,74.3,99.2,101.0,98.6,104.2,102.3,12.1,-0.4,85.8,79.0,100.0,7.1,81.3,0.3,83.4,73.9,215.3,747.0,114.1,6.0,64.4,97.1,4.4,66.5,65.4,130.3,98.1,101.9,projection
Q2 2021,467757.1,536368.2,117.6,7.8,235279.5,386036.7,73.2,69.7,62.7,76.6,83.2,3.5,179.8,729.4,3.2,3.7,-2.4,108.1,41.5,18.8,79.6,74.8,99.4,101.3,98.8,104.8,103.6,11.9,-0.4,86.4,79.7,100.3,6.9,84.2,0.3,84.4,75.0,192.2,680.4,115.6,6.0,66.0,97.6,4.3,68.8,68.9,132.8,98.6,102.4,projection
Q3 2021,469088.9,540119.4,118.2,7.6,235669.2,389773.8,74.4,70.8,63.7,77.8,84.4,3.4,161.8,633.5,3.3,4.2,-1.9,109.0,43.3,18.8,80.1,75.5,99.7,101.6,99.0,105.5,103.4,11.8,-0.4,87.0,80.5,100.6,6.6,87.3,0.3,85.6,76.2,169.2,613.8,117.1,6.0,67.5,98.0,4.2,71.9,72.6,135.3,99.0,102.9,projection
Q4 2021,470417.0,543804.6,118.9,7.5,236030.9,393248.1,75.5,72.0,64.8,79.2,85.6,3.2,143.9,537.5,3.4,4.8,-1.5,109.9,45.0,18.8,80.7,76.2,99.9,102.0,99.2,106.2,104.2,11.7,-0.4,87.7,81.2,101.0,6.4,88.4,0.3,86.9,77.4,146.1,547.2,118.6,6.0,69.1,98.5,4.0,74.7,76.2,137.9,99.5,103.4,projection
