quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,Bank Rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US policy rate,US residential real estate price index,US commercial real estate price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,China real GDP,China household income growth,China residential property price index,India real GDP,Singapore real GDP,PPP-weighted World real GDP,Oil price,GBP-EUR exchange rate index,GBP-USD exchange rate index,Volatility index,UK equity prices,US equity prices,Sterling IG corporate bond spread,Sterling HY corporate bond spread,US dollar IG corporate bond spread,US dollar HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs
Q1 2018,493227.9,522256.5,104.6,4.8,0.4,247196.9,363397,99.6,99.8,99.7,99.8,99.6,99.6,99.6,99.5,99.3,9.8,-0.4,99.5,99.7,99.8,4.8,1,98.8,98.1,99.5,4,92,91.3,99.2,6.6,92.9,100.5,99.2,99.6,49,92.6,90.9,28.1,68.8,76.7,236.1,991.3,254.4,819.0,3.2,9.5,2.5
Q2 2018,485959.4,514142.8,105.9,5.8,1,239659.5,353913.2,96.1,96.3,95.7,96.8,98.5,98.8,98.4,98.2,99.9,10.9,-0.4,97.7,97.5,98.6,5.5,0.6,96.5,93.9,96.9,5.1,84,82.7,99.1,5,86,101.1,96,98.9,35.6,81.3,76.9,38.5,61.8,64.7,292.0,1311.9,330.4,1048.9,2.8,8.0,0.5
Q3 2018,474723.7,497333.2,107.1,7.5,2.5,228632.6,345079.3,92.4,89.6,88.1,91.2,97,97.7,96.7,96.2,99.3,12.4,-0.4,96.3,93.4,96.9,6.8,0.4,94,88.4,93.2,5.9,76.8,74,98.9,3.3,79.2,101.6,93.9,97.9,29.4,77.5,72.2,38.5,57.6,58.4,348.0,1632.6,406.4,1278.8,2.0,4.8,-3.0
Q4 2018,472179.8,492845.4,108.5,8.6,4,225396,349966.1,88.9,80.9,78.1,83.8,96.4,97.2,96.1,95.7,99.7,13.2,-0.4,94.3,87.8,96.5,7.8,0.3,91.4,82.1,92.1,6.6,69.4,65.4,98.8,1.6,72.6,102.2,92.8,97.6,29.4,74.3,68.3,31.7,55.2,54.4,403.9,1953.2,482.4,1508.7,0.9,0.2,-6.8
Q1 2019,472301.6,495356.5,109.3,9.3,4,228720.5,352201.5,85.2,70,65.5,74.5,96.4,97.2,96.1,96.1,99,13.3,-0.4,92.5,80.4,96.5,8.7,0.3,89,75,92.3,7,66.4,62.3,99.7,1.7,70.1,104.1,93.1,98.1,29.4,74.2,68.2,27.7,60.1,57.0,386.0,1857.3,459.4,1442.1,-0.3,-3.8,-9.4
Q2 2019,472895.6,502229.2,111.2,9.5,4,235067.1,357375.7,81.6,60,54,66,96.6,97.3,96.2,96.6,99.9,13.2,-0.4,90.7,73.2,96.6,8.9,0.3,86.6,68.8,92.6,7.2,63.4,59.1,100.6,1.7,67.7,106,93.5,98.7,29.4,74.3,68.3,24.9,63.5,58.9,368.0,1761.3,436.3,1375.5,-0.8,-4.7,-10.0
Q3 2019,473969.5,508022.4,112.5,9.5,4,238609.7,361741.8,77.9,60,54,66,96.8,97.6,96.4,97.2,99.5,13.1,-0.4,88.8,73.2,96.9,9.1,0.3,84.3,67.2,92.8,7.1,61,56,101.6,1.8,65.2,107.9,93.8,99.3,29.4,74.4,68.4,22.8,65.6,60.7,350.1,1665.4,413.3,1308.9,-1.1,-5.2,-8.6
Q4 2019,475591.2,514282.7,114,9.5,4,240550.6,367384.2,74.3,60.5,54.5,66.6,97.2,97.9,96.7,98,99.9,13,-0.4,86.9,73.6,97.2,9.1,0.3,82.5,67,93.1,6.7,58.5,52.9,102.5,1.9,62.8,109.8,94.1,100,29.4,74.4,68.5,21.0,67.4,62.4,332.1,1569.4,390.2,1242.3,-0.8,-4.8,-6.9
Q1 2020,477169.2,520752.5,114.8,9.4,4,242612.1,372706.7,70.7,61.3,55.2,67.5,97.4,98.3,97,98.8,99.5,12.8,-0.4,84.9,74.1,97.6,9,0.3,80.8,67.1,93.6,6.3,55.6,49.9,103.8,2.7,60.3,112,94.7,100.9,31.6,75,69.1,19.5,69.3,64.2,314.2,1473.5,367.2,1175.6,-0.3,-4.2,-6.5
Q2 2020,478757.4,526554.6,116.3,9.2,4,243321.4,378297,67.1,62.1,55.9,68.3,97.7,98.6,97.3,99.6,100.6,12.7,-0.4,82.8,74.7,97.9,8.7,0.3,79.4,67.5,94.2,5.9,52.7,46.9,105,3.6,57.8,114.2,95.2,101.7,33.7,75.4,69.7,18.2,71.0,66.1,296.2,1377.5,344.1,1109.0,0.2,-3.5,-6.0
Q3 2020,480248.9,531021.3,117,9,4,244003.6,382295.1,67,62.9,56.6,69.2,98,99,97.6,100.4,100.4,12.6,-0.4,82.7,75.3,98.3,8.6,0.3,79.3,68.2,94.7,5.4,50.4,43.8,106.3,4.5,55.1,116.4,95.8,102.5,35.9,76,70.4,17.0,72.7,68.0,278.3,1281.5,321.0,1042.4,0.6,-1.4,-5.6
Q4 2020,481642.4,534924.1,117.7,8.9,4,243661.8,386364.4,67.7,63.8,57.4,70.2,98.1,99.3,97.8,101.1,101.2,12.5,-0.4,83.1,75.8,98.6,8.3,0.3,79.6,69.1,95.2,5.1,53.3,47.4,107.6,5.3,56.6,118.7,96.3,103.3,38,76.5,71,16.0,74.3,70.0,260.3,1185.6,298.0,975.8,1.1,-0.1,-5.1
Q1 2021,482835.6,538879.7,117.7,8.7,4,243870,390360.4,68.6,64.7,58.2,71.2,98.3,99.7,97.9,101.7,100.8,12.4,-0.4,83.6,76.4,98.9,8,0.3,80.1,70,95.6,4.9,55.8,51,108.8,5.6,58.2,120.9,96.6,104.1,40.2,77,71.7,15.1,76.0,72.0,242.4,1089.6,274.9,909.2,1.7,0.7,-4.7
Q2 2021,483871.3,543019.1,118.8,8.5,4,244343.6,393969.7,69.4,65.6,59,72.2,98.5,100,98.1,102.3,102,12.4,-0.4,84.1,77.1,99.1,7.8,0.3,80.7,70.9,95.9,4.8,58.1,54.6,110.1,5.9,59.7,123.2,96.9,104.8,42.3,77.5,72.3,15.1,77.6,74.1,224.5,993.7,251.9,842.6,2.2,1.3,-4.2
Q3 2021,484904,546704.3,119.4,8.4,3.9,244416.9,397846.2,70.4,66.6,59.9,73.3,98.7,100.3,98.3,102.9,101.9,12.3,-0.4,84.6,77.7,99.4,7.5,0.3,81.4,71.9,96.3,4.7,61.2,58.2,111.3,6.1,61.3,125.5,97.3,105.6,44.5,78.1,73,15.1,79.2,76.4,206.5,897.7,228.8,776.0,2.6,1.9,-3.7
Q4 2021,486052.4,550597.4,120.1,8.2,3.8,244620.9,401765.1,71.4,67.6,60.8,74.4,99,100.6,98.4,103.5,102.6,12.2,-0.4,85.2,78.4,99.7,7.2,0.3,82.3,72.9,96.6,4.6,64,61.9,112.5,6.4,62.8,127.7,97.6,106.4,46.6,78.6,73.6,15.1,80.8,78.8,188.6,801.7,205.8,709.4,2.8,2.5,-3.3
Q1 2022,487357.5,554570.3,120.1,8,3.6,244750.6,404475.5,72.2,68.6,61.7,75.4,99.2,101,98.6,104.2,102.4,12.1,-0.4,85.8,79,100,7.1,0.3,83.3,73.9,97.1,4.4,66.5,65.4,114,6.4,64.4,130.3,98.1,107.3,48.8,79.1,74.3,15.1,82.2,81.3,170.6,705.8,182.7,642.7,3.0,3.2,-2.8
Q2 2022,488752.8,558525.8,121.2,7.8,3.5,245138.2,408296.1,73.2,69.7,62.7,76.6,99.4,101.3,98.8,104.8,103.6,11.9,-0.4,86.4,79.7,100.3,6.9,0.3,84.4,75,97.6,4.3,68.8,68.9,115.6,6.4,66,132.8,98.5,108.1,50.9,79.6,74.8,15.1,83.2,84.2,152.7,609.8,159.7,576.1,3.2,3.7,-2.4
Q3 2022,490144.3,562431.9,121.7,7.6,3.4,245544.2,412248.8,74.4,70.8,63.7,77.8,99.7,101.7,99,105.5,103.4,11.8,-0.4,87,80.5,100.7,6.6,0.3,85.6,76.2,98,4.2,71.9,72.6,117.1,6.4,67.5,135.3,99,109,53.1,80.1,75.5,15.1,84.4,87.3,134.7,513.9,136.6,509.5,3.3,4.2,-1.9
Q4 2022,491532,566269.4,122.5,7.5,3.3,245921,415923.3,75.5,72,64.8,79.2,99.9,102,99.1,106.1,104.2,11.7,-0.4,87.7,81.2,101,6.4,0.3,86.8,77.4,98.5,4,74.7,76.2,118.5,6.4,69.1,137.9,99.5,109.9,55.1,80.7,76.2,15.1,85.6,88.4,116.8,417.9,113.6,442.9,3.4,4.8,-1.5
