firm,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Barclays,4.3,Barclays,5.4,,,,,
HSBC,6.7,HSBC,6.3,,,,,
Lloyds Banking Group,1.2,Lloyds,Banking,Group,5.3,,,
The Royal Bank of Scotland Group,1.6,The,Royal,Bank,of,Scotland,Group,3.5
Santander UK,0.7,Santander,UK,8.6,,,,
Standard Chartered,4.5,Standard,Chartered,9.9,,,,
