firm,col_1,col_2,col_3,col_4
Barclays,0.9,35.3,7.2,9.3
HSBC,0.8,20.7,7.8,9.3
Lloyds Banking Group,3.2,27.3,8.5,11.5
Nationwide,1.1,24.9,–,–
The Royal Bank of Scotland Group,0.9,26.9,6.2,9.8
Santander UK,1.4,22.7,6.7,12.5
Standard Chartered,–,–,–,3.0
