firm,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Barclays,4.9,–,28.2,4.9,10.0,6.4,–,7.7,7.6,11.7
HSBC,2.1,5.6,8.8,3.7,8.7,6.0,6.2,3.4,4.1,5.9
Lloyds Banking Group,3.8,–,–,4.3,–,7.9,–,2.0,–,6.2
Nationwide,1.1,–,–,–,–,10.3,–,–,–,–
The Royal Bank of Scotland Group,2.3,–,–,4.6,3.6,7.6,–,–,7.8,4.6
Santander UK,1.7,–,–,–,–,8.2,–,–,–,–
Standard Chartered,–,5.8,–,–,8.2,7.8,8.6,1.9,3.9,5.5
