firm,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Barclays,7.1,-,29.5,6.8,5.0,7.8,-,8.7,2.7,5.7
HSBC,2.8,5.3,4.9,0.6,9.0,8.5,6.9,7.8,4.9,5.5
Lloyds Banking Group,6.1,-,-,4.2,-,9.4,-,5.3,-,-
Nationwide,1.6,-,-,-,-,8.0,-,-,-,-
The Royal Bank of Scotland,2.7,-,-,4.8,2.6,8.6,-,10.9,5.8,7.0
Santander UK,3.0,-,-,-,-,9.2,-,-,-,-
Standard Chartered,-,5.8,-,-,7.4,7.3,9.0,5.6,4.3,5.8
