quarter,UK real GDP,UK nominal GDP,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,Deposit volumes,"2yr fixed mortgage rate, 75% LTV",Instant access savings rate,PPP-weighted World real GDP,World trade,Volatility index,Euro area real GDP,ECB policy rate,Euro area residential property price index,US real GDP,US equity prices,US policy rate,US residential real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong residential property price index,India real GDP,period_kind,UK nominal GDP index
Q2 2019,483091.9,524637.9,239633.3,359196.5,103.8,94.9,106.0,0.0,140.0,520.0,3.2,8.2,-2.8,1666332.0,1.01,0.12,106.0,101.9,15.6,102.4,-0.4,102.9,103.1,108.3,0.3,105.5,140.0,525.0,111.0,109.5,104.0,104.1,114.2,projection,106.01189082170255
Q3 2019,483798.4,527594.8,240194.6,361043.3,104.1,96.0,106.6,0.0,140.0,520.0,3.2,8.3,-3.0,1673962.0,1.01,0.13,106.5,101.9,15.6,102.6,-0.4,103.0,103.4,109.2,0.3,105.9,140.0,525.0,111.9,110.6,104.4,104.5,115.5,projection,106.60938208180917
Q4 2019,484496.6,530912.8,241199.4,363176.3,104.5,97.5,107.3,0.0,140.0,520.0,3.2,8.5,-3.1,1680269.0,1.0,0.14,107.0,101.9,15.6,102.7,-0.4,103.1,103.6,109.9,0.3,106.3,140.0,525.0,112.9,111.7,104.8,104.8,116.7,projection,107.27983965596918
Q1 2020,485175.1,535540.3,243509.8,365705.4,104.9,98.9,108.2,0.0,140.0,520.0,3.2,8.6,-3.1,1679834.0,0.97,0.15,107.5,102.0,15.6,102.9,-0.4,103.3,103.8,110.7,0.3,106.7,140.0,525.0,113.9,112.8,105.1,105.2,118.0,projection,108.21490367779725
Q2 2020,485922.3,538971.7,244542.1,367726.8,105.3,100.0,108.9,0.0,140.0,520.0,3.3,8.6,-2.9,1685013.0,0.97,0.17,108.1,102.0,15.5,103.1,-0.4,103.4,104.1,111.6,0.3,107.0,140.0,525.0,114.9,113.8,105.5,105.5,119.4,projection,108.90827562474502
Q3 2020,486746.9,542280.9,245431.4,370084.0,105.7,101.0,109.6,0.0,140.0,520.0,3.3,8.7,-2.7,1690284.0,0.97,0.18,108.6,102.0,15.5,103.3,-0.4,103.5,104.3,112.3,0.3,107.4,140.0,525.0,115.9,114.9,105.8,105.9,120.7,projection,109.57695501124603
Q4 2020,487654.5,545776.0,246476.5,372494.8,106.1,101.8,110.3,0.0,140.0,520.0,3.3,8.6,-2.7,1695593.0,0.97,0.19,109.1,102.0,15.5,103.5,-0.4,103.7,104.5,113.1,0.3,107.8,140.0,525.0,116.9,116.0,106.2,106.2,122.0,projection,110.28319861204369
Q1 2021,488650.4,549373.2,247578.9,374952.9,106.5,102.5,111.0,0.0,140.0,520.0,3.3,8.2,-2.5,1693769.0,0.97,0.2,109.6,102.1,15.5,103.7,-0.4,103.8,104.8,114.0,0.3,108.2,140.0,525.0,117.9,117.1,106.6,106.6,123.4,projection,111.01007323102152
Q2 2021,489739.6,553077.6,248815.7,377423.6,106.9,103.0,111.8,0.0,140.0,520.0,3.3,8.2,-2.6,1698204.0,0.97,0.22,110.2,102.1,15.5,103.8,-0.4,103.9,105.0,114.8,0.3,108.6,140.0,525.0,118.9,118.2,107.0,106.9,124.8,projection,111.75860940875462
Q3 2021,490926.8,556901.3,250126.3,379953.2,107.3,103.6,112.5,0.0,140.0,520.0,3.3,8.2,-2.5,1702567.0,0.97,0.23,110.7,102.1,15.5,104.0,-0.4,104.0,105.2,115.6,0.3,109.0,140.0,525.0,119.9,119.3,107.4,107.3,126.2,projection,112.53125215327412
Q4 2021,492212.7,560843.5,251515.3,382539.3,107.7,104.2,113.3,0.0,140.0,520.0,3.3,8.1,-2.5,1706654.0,0.97,0.24,111.2,102.1,15.5,104.2,-0.4,104.2,105.4,116.4,0.3,109.4,140.0,525.0,121.0,120.4,107.7,107.6,127.7,projection,113.32783981115647
Q1 2022,493557.6,564867.4,252973.3,385151.0,108.1,104.7,114.1,0.0,140.0,520.0,3.3,8.0,-2.4,1703387.0,0.97,0.25,111.8,102.2,15.5,104.4,-0.4,104.3,105.7,117.3,0.3,109.9,140.0,525.0,122.0,121.5,108.1,108.0,129.1,projection,114.14093632491853
Q2 2022,494952.5,569015.3,254677.8,387707.6,108.5,105.3,115.0,0.0,140.0,520.0,3.2,8.0,-2.3,1706259.0,0.97,0.26,112.3,102.2,15.5,104.6,-0.4,104.4,105.9,118.1,0.3,110.3,140.0,525.0,123.1,122.7,108.5,108.3,130.6,projection,114.97908911933035
Q3 2022,496358.2,573143.4,256282.9,390303.5,108.9,105.8,115.8,0.0,140.0,520.0,3.2,7.9,-2.3,1708765.0,0.97,0.26,112.8,102.2,15.5,104.8,-0.4,104.6,106.1,118.9,0.3,110.7,140.0,525.0,124.1,123.8,108.9,108.7,132.1,projection,115.81324099150936
Q4 2022,497774.7,577328.6,257946.9,392911.7,109.3,106.4,116.7,0.0,140.0,520.0,3.2,7.8,-2.3,1710936.0,0.97,0.26,113.4,102.3,15.5,105.0,-0.4,104.7,106.4,119.8,0.3,111.1,140.0,525.0,125.2,125.0,109.3,109.1,133.6,projection,116.65893087679402
Q1 2023,499201.5,581549.2,259624.0,395542.4,109.7,107.0,117.5,0.0,140.0,520.0,3.2,7.7,-2.3,1705646.0,0.97,0.26,113.9,102.3,15.5,105.2,-0.4,104.8,106.6,120.6,0.3,111.5,140.0,525.0,126.3,126.2,109.7,109.4,135.1,projection,117.51177392607062
Q2 2023,500638.3,585847.8,261411.8,398171.9,110.1,107.6,118.4,0.0,140.0,520.0,3.2,7.6,-2.3,1706422.0,0.97,0.26,114.5,102.4,15.5,105.3,-0.4,105.0,106.9,121.6,0.3,111.9,140.0,525.0,127.4,127.1,110.1,109.8,136.7,projection,118.38037818414307
Q3 2023,502084.9,590116.7,263054.7,400865.5,110.5,108.2,119.2,0.0,140.0,520.0,3.2,7.4,-2.3,1706966.0,0.97,0.26,115.0,102.4,15.5,105.5,-0.4,105.1,107.1,122.4,0.3,112.3,140.0,525.0,128.5,128.3,110.5,110.1,138.2,projection,119.24298105886628
Q4 2023,503540.9,594441.9,264755.2,403572.5,110.9,108.8,120.1,0.0,140.0,520.0,3.2,7.3,-2.3,1707081.0,0.97,0.26,115.6,102.4,15.5,105.7,-0.4,105.2,107.3,123.3,0.3,112.7,140.0,525.0,129.6,129.6,110.9,110.5,139.8,projection,120.11696029327163
Q1 2024,505006.0,598806.5,266472.3,406303.5,111.3,109.5,121.0,0.0,140.0,520.0,3.1,7.3,-2.3,1699801.0,0.97,0.26,116.1,102.5,15.5,105.9,-0.4,105.4,107.6,124.2,0.3,113.1,140.0,525.0,130.7,130.7,111.3,110.9,141.4,projection,120.99890095878665
Q2 2024,506479.9,603253.5,268305.2,409034.2,111.7,110.1,121.9,0.0,140.0,520.0,3.2,7.2,-2.3,1698717.0,0.97,0.26,116.7,102.5,15.5,106.1,-0.4,105.5,107.8,125.1,0.3,113.6,140.0,525.0,131.9,132.0,111.7,111.2,143.0,projection,121.89749192692699
Q3 2024,507962.5,607669.6,269989.2,411830.9,112.1,110.7,122.8,0.0,140.0,520.0,3.1,7.1,-2.3,1697323.0,0.97,0.26,117.2,102.5,15.5,106.3,-0.4,105.6,108.0,125.9,0.3,114.0,140.0,525.0,133.0,133.2,112.1,111.6,144.6,projection,122.78983903158283
Q4 2024,509453.4,612145.0,271733.7,414641.6,112.6,111.3,123.7,0.0,140.0,520.0,3.2,7.0,-2.3,1695675.0,0.97,0.26,117.8,102.6,15.5,106.5,-0.4,105.8,108.3,126.9,0.3,114.4,140.0,525.0,134.2,134.4,112.5,112.0,146.3,projection,123.69416869625907
Q1 2025,510952.5,616661.6,273496.1,417477.3,113.0,112.0,124.6,0.0,140.0,520.0,3.2,7.0,-2.3,1686770.0,0.97,0.26,118.4,102.6,15.5,106.7,-0.4,105.9,108.5,127.8,0.3,114.8,140.0,525.0,135.3,135.6,112.9,112.3,148.0,projection,124.60682351224797
Q2 2025,512459.5,621264.4,275378.8,420313.0,113.4,112.6,125.5,0.0,140.0,520.0,3.2,6.9,-2.2,1683965.0,0.97,0.26,118.9,102.6,15.5,106.9,-0.4,106.0,108.8,128.7,0.3,115.3,140.0,525.0,136.5,136.8,113.3,112.7,149.7,projection,125.53689648462402
Q3 2025,513974.3,625834.7,277108.2,423216.1,113.8,113.3,126.5,0.0,140.0,520.0,3.2,6.8,-2.2,1681029.0,0.97,0.26,119.5,102.7,15.5,107.0,-0.4,106.2,109.0,129.6,0.3,115.7,140.0,525.0,137.7,138.1,113.7,113.1,151.4,projection,126.46040228666848
Q4 2025,515496.7,630466.7,278900.3,426133.8,114.2,113.9,127.4,0.0,140.0,520.0,3.2,6.8,-2.2,1677807.0,0.97,0.26,120.1,102.7,15.5,107.2,-0.4,106.3,109.2,130.5,0.3,116.1,140.0,525.0,138.9,139.3,114.1,113.4,153.1,projection,127.39637560900401
Q1 2026,517026.5,635141.8,280711.4,429077.1,114.7,114.6,128.3,0.0,140.0,520.0,3.2,6.7,-2.2,1667551.0,0.97,0.26,120.6,102.7,15.5,107.4,-0.4,106.4,109.5,131.5,0.3,116.5,140.0,525.0,140.1,140.7,114.5,113.8,154.8,projection,128.3410580095331
Q2 2026,518563.6,639907.4,282648.1,432020.7,115.1,115.2,129.3,0.0,140.0,520.0,3.3,6.7,-2.2,1663393.0,0.97,0.26,121.2,102.8,15.5,107.6,-0.4,106.5,109.7,132.4,0.3,117.0,140.0,525.0,141.3,141.9,114.9,114.2,156.6,projection,129.30402745360092
Q3 2026,520107.8,644639.9,284427.3,435033.4,115.5,115.9,130.3,0.0,140.0,520.0,3.3,6.6,-2.1,1659165.0,0.97,0.26,121.8,102.8,15.5,107.8,-0.4,106.7,110.0,133.4,0.3,117.4,140.0,525.0,142.6,143.2,115.3,114.6,158.4,projection,130.26030848726947
Q4 2026,521658.9,649437.9,286272.9,438061.4,115.9,116.6,131.2,0.0,140.0,520.0,3.3,6.6,-2.1,1654700.0,0.97,0.26,122.4,102.8,15.5,108.0,-0.4,106.8,110.2,134.3,0.3,117.8,140.0,525.0,143.8,144.5,115.8,115.0,160.2,projection,131.22982489499094
