quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate household deposit growth,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q1 2003,421580,307070,75,5.2,146068,219470,54.4,,,,43.9,3.85,128.0,860.0,14.0,14.5,8.7,8.6,54.3,50.2,31.4,30.0,128.5,124.6,81.7,81.4,79.2,46.3,76.6,9,1.68,82.1,68.6,70.8,5.9,27.9,1.25,60.8,50.6,171.0,823.0,23.8,10.8,,57.1,7.5,16.5,12,30.1,42.4,3.7,58.7,history,57.20934218664997
Q2 2003,425428,310584,75.5,4.9,147488,220235,55.3,,,,47.7,3.75,109.0,700.0,14.2,14.8,11.2,8.2,54.8,50.3,26.1,21.5,122.6,125.8,81.8,81.2,79.3,46.5,77.1,9,1.37,83.1,68.7,71.4,6.1,30.4,1.25,61.9,50.2,135.0,666.0,24.2,7.1,,55.7,8.2,15.7,11.4,30.8,41.9,3.6,59.3,history,57.86402557624807
Q3 2003,430274,316568,75.6,5,150126,223424,57,,,,50.7,3.53,87.0,601.0,14.7,14.0,9.3,8.1,55.7,51.5,28.4,19.3,123,125.2,82.2,81.8,79.9,47.4,77.2,9.1,1,83.9,69,72.6,6.1,32.4,1.01,63.5,49.6,118.0,568.0,25,10.6,,59.1,8.3,15.6,11.9,31.6,44.2,4.8,60.2,history,58.97888767168206
Q4 2003,434277,321966,76,4.9,153709,227147,58.3,,,,53.1,3.65,76.0,474.0,15.1,13.4,7.0,8.6,56.5,53.5,29.4,17.4,123.3,132.7,82.8,82.4,80.1,49.6,77.6,9.1,1,85,69.4,73.5,5.8,34.3,1,65.3,49,103.0,460.0,25.6,11.3,,59.7,7.7,16.9,13,32.7,45.5,3.9,61.1,history,59.98457376646024
Q1 2004,435802,322897,75.9,4.8,151061,229334,59.4,,,,54.8,3.91,79.0,421.0,15.3,13.9,6.9,8.1,57.2,54.9,32,16.6,126.5,142.8,83.2,83.1,80,49.4,77.9,9.2,1,85.7,69.6,73.9,5.7,36.7,1,67.4,51.1,94.0,420.0,26.2,12.1,,61.4,7.3,19.3,17.1,32.8,46.8,3.7,62.1,history,60.15802574019838
Q2 2004,437406,329033,76.5,4.8,155970,231905,62,,,,55.1,4.22,84.0,398.0,15.3,13.7,5.4,8.2,57.9,56.6,35.4,16.2,129,140.4,83.7,83.7,80.4,50.4,78.9,9.3,1,86.6,70.5,74.4,5.6,36.4,1.01,69.7,54.3,95.0,410.0,26.9,11.8,,62.5,6.9,20.3,18.8,33.6,47.5,3.6,63,history,61.30120652522226
Q3 2004,438191,330791,76.6,4.7,154703,236305,64.1,,,,54.5,4.65,84.0,403.0,14.6,13.9,8.9,8.8,58.6,57.6,41.6,15.4,128,141.3,84,83.9,80.2,50.6,78.9,9.2,1,87.7,70.4,75.1,5.4,35.8,1.44,71.8,58,96.0,399.0,27.5,10.3,,63.2,6.6,20.4,19.2,34.4,47.8,3,63.7,history,61.628734527189664
Q4 2004,439291,334738,77.1,4.7,155727,238238,65.5,,,,58.0,4.75,77.0,340.0,13.1,14.0,7.8,8.3,59.2,59.1,44,13.6,123.7,145,84.3,84.5,80.2,51.6,79.4,9.3,1,89,71.1,75.9,5.4,37.7,1.95,74.1,59.2,88.0,330.0,28.1,10.6,,64.5,6.7,21.9,21.6,35,48.9,3.2,64.4,history,62.36408892068531
Q1 2005,442793,337926,77.3,4.7,156807,239960,66,,,,61.1,4.75,70.0,285.0,11.7,13.7,11.2,8.5,59.9,59.5,47.8,12.8,124,146.9,84.5,84.8,80.2,52.3,79.5,9.2,1,90.2,71.5,76.7,5.3,38.6,2.48,76.9,59.5,84.0,305.0,29,11.3,,65.2,6.2,23.6,23.8,35.7,49.2,3.2,65.1,history,62.95803617339981
Q2 2005,447996,346983,78,4.8,164200,244329,66.9,,,,61.2,4.75,83.0,378.0,10.8,12.6,15.9,8.8,60.6,61.4,51.6,13.4,126.8,144.2,84.9,84.9,80.6,53.2,80.5,9.2,1,90.8,72.5,77.1,5.1,38.3,2.94,79.6,61.4,100.0,396.0,29.7,12,,67.2,5.8,24.8,26.2,36.8,50.5,3.3,65.9,history,64.6454201971875
