firm,col_1,col_2,col_3,col_4
Barclays,0.2,24.6,3.5,6.6
HSBC,0.3,7.7,3.6,2.1
Lloyds Banking Group,1.2,18.7,7.2,5.3
Nationwide,0.3,17.4,9.2,–
The Royal Bank of Scotland Group,0.4,14.1,5.3,4.6
Santander UK,0.6,11.1,6.3,6.0
Standard Chartered,–,–,–,2.0
