firm,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Barclays,7.1,4.0,Barclays,1.4,0.1,,,,,
HSBC,0.7,3.6,HSBC,0.1,1.2,,,,,
Lloyds Banking Group,4.3,10.4,Lloyds,Banking,Group,0.4,0.4,,,
Nationwide,–,–,Nationwide,–,–,,,,,
The Royal Bank of Scotland Group,5.7,8.4,The,Royal,Bank,of,Scotland,Group,0.7,1.0
Santander UK,–,18.1,Santander,UK,–,0.1,,,,
Standard Chartered,–,6.4,Standard,Chartered,–,0.2,,,,
