firm,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Barclays,11.3,-,9.7,1.0,0.7,4.3,-,1.9,0.1,0.9
HSBC,3.0,5.1,1.1,0.1,7.4,6.8,11.4,4.6,2.4,9.4
Lloyds Banking Group,19.1,-,-,0.6,-,5.9,-,0.2,-,0.0
Nationwide,3.0,-,-,-,-,0.2,-,-,-,-
The Royal Bank of Scotland,4.4,-,-,0.9,0.1,6.2,-,0.2,0.8,0.8
Santander UK,5.0,-,-,-,-,2.1,-,-,-,-
Standard Chartered,-,2.3,-,-,4.2,0.2,2.1,0.2,0.3,5.1
