firm,col_1,col_2,col_3,col_4
Barclays,0.9,36.8,5.4,8.1
HSBC,0.6,18.0,7.2,8.7
Lloyds Banking Group,3.4,28.8,7.5,10.1
Nationwide,1.0,29.1,8.1,-
The Royal Bank of Scotland Group,1.0,21.8,6.4,9.0
Santander UK,1.7,19.9,7.3,10.4
Standard Chartered,-,-,-,7.6
