firm,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Barclays,–,–,Barclays,–,–,,,,,
Lloyds Banking Group,–,–,Lloyds,Banking,Group,–,–,,,
Nationwide,–,–,Nationwide,–,–,,,,,
The Royal Bank of Scotland Group,–,–,The,Royal,Bank,of,Scotland,Group,–,–
Santander UK,–,–,Santander,UK,–,–,,,,
Standard Chartered,3.1,7.3,Standard,Chartered,0.7,1.9,,,,
