firm,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Barclays,5.2,Barclays,6.6,,,,,
HSBC,14.3,HSBC,9.3,,,,,
Lloyds Banking Group,0.3,Lloyds,Banking,Group,1.5,,,
The Royal Bank of Scotland Group,1.1,The,Royal,Bank,of,Scotland,Group,2.6
Santander UK,1.3,Santander,UK,13.3,,,,
Standard Chartered,6.2,Standard,Chartered,9.9,,,,
