quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK corporate profits – Energy extraction sector,UK corporate profits – Non-energy extraction sectors,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate retail deposits,PPP-weighted world real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q4 2004,499020,338535,57,4.7,160394,4800,155594,235837,52.2,,52.3,4.75,77.0,340.0,13.1,14.1,7.9,8.3,51.5,50.2,44.1,28.5,13.6,116.8,153.2,80,80.6,79.7,65.9,9.4,1,59.1,82.6,66.6,5.4,19.7,1.95,48.5,57.7,88.0,330.0,22.7,,62.5,6.7,28.7,32.4,27.8,40.8,3.2,56.9,history,46.71226563491757
Q1 2005,502702,341254,57.1,4.7,159335,5350,153985,238137,52.7,,55.1,4.75,70.0,285.0,11.7,13.7,11.2,8.5,52.1,50.5,47.8,37.8,12.8,120.2,150.9,80.3,80.8,79.9,66,9.3,1,60.1,83.2,67.3,5.3,20.2,2.45,50.3,59.8,84.0,305.0,23.3,,63.1,6.2,31,35.7,28.3,41.1,3.2,57.5,history,47.08744294379654
Q2 2005,506906,348491,57.7,4.8,166443,5755,160688,241210,53.4,,55.2,4.75,83.0,378.0,10.8,12.6,16.0,8.8,52.7,52,51.6,30.3,13.4,122.4,143.1,80.7,81,80.3,66.8,9.3,1,60.8,84.3,67.7,5.1,20.0,2.92,52.1,60.8,100.0,396.0,23.9,,65.1,5.8,32.6,39.1,29.2,42.1,3.3,58.1,history,48.086029992107335
Q3 2005,511132,352001,58,4.7,166757,6019,160738,243081,54.1,,59.2,4.59,74.0,374.0,10.2,11.1,16.1,8.1,53.3,53,61.6,29.3,12.3,121.2,141.2,81.4,81.7,81,67,9.2,1,62.2,85.8,68.2,5,20.7,3.43,53.7,63.5,89.0,350.0,24.6,,66.4,5.6,32.2,39.9,29.6,43.1,3.3,58.9,history,48.57035229963407
Q4 2005,515935,357003,58.2,5.1,170980,6454,164526,246274,54.8,,60.9,4.5,75.0,377.0,10.2,9.6,17.7,7.9,54,54.3,56.9,64.5,12.7,120.3,137,81.9,82.2,81.3,67.5,9.1,1.07,63.1,87.9,68.6,5,20.8,3.97,55.3,65.6,94.0,362.0,25.4,,67.2,5.3,31,39.2,30.3,44.5,2.7,59.7,history,49.260546083750505
Q1 2006,518495,361213,58.2,5.2,169009,7589,161420,249245,56.1,,65.9,4.5,76.0,351.0,10.5,7.8,17.0,8.1,54.8,55.8,62,68.8,12.0,118.5,138.4,82.7,82.9,82.2,67.5,8.9,1.32,64.4,89.4,69.5,4.7,21.7,4.44,56.4,67.6,89.0,338.0,26.1,,68.6,5.1,31.5,38,31.1,45.3,2.4,60.4,history,49.84145688565578
Q2 2006,520318,367042,59,5.5,175537,7320,168217,249971,57.2,,66.4,4.5,76.0,296.0,10.7,6.8,15.9,7.6,55.4,56.9,69.8,34.6,14.5,119.5,147.6,83.6,83.9,83.6,68.4,8.6,1.55,65.5,91.4,69.7,4.6,21.7,4.9,56.6,70.6,91.0,312.0,26.9,,69.3,4.9,32.1,40.4,31.6,45.8,2.7,61.1,history,50.6457630767023
Q3 2006,521780,370883,59.4,5.5,176455,6463,169992,255315,58.4,,66.5,4.66,81.0,281.0,11.0,5.9,18.1,8.2,56.1,57.7,70.2,33.8,13.6,121.9,149.1,84.1,84,84.2,68.5,8.4,1.9,66.4,94.2,69.8,4.6,21.8,5.25,56.3,72.3,97.0,341.0,27.8,,70.6,4.8,31.9,41.7,32.6,46.7,2.8,61.8,history,51.17575794371374
Q4 2006,524569,372900,59.8,5.5,173168,5939,167229,258819,60.2,,70.4,4.89,80.0,235.0,11.4,5.7,18.3,8.1,57,58.8,59.6,30.1,11.0,122.7,156.2,85,84.5,85.4,68.7,8.1,2.27,67.7,95.7,70.4,4.4,23.5,5.25,56.5,73.8,93.0,313.0,28.8,,71.7,4.5,32.1,41.3,33.2,48.5,2.8,62.7,history,51.45407079108737
Q1 2007,529398,376958,59.9,5.5,172903,5110,167793,264606,62,,72.3,5.22,78.0,202.0,11.5,4.8,18.3,8.1,57.7,60.2,58.1,22.4,12.5,121.8,156.5,85.6,85.4,85.6,68.8,7.9,2.55,68,97.7,70.6,4.5,24.1,5.25,56.8,75.9,90.0,275.0,29.9,,72.6,4.4,33.3,43,34.1,49.2,2.7,63.5,history,52.01400809135615
Q2 2007,533187,386144,60.5,5.4,181019,5514,175505,268149,63.3,,75.5,5.4,79.0,208.0,11.2,4.5,17.7,8.3,58.5,61.2,68.7,20.3,13.7,122.8,160.1,86.2,85.9,86.1,69.7,7.7,2.8,68.9,99.6,71,4.5,25.3,5.25,55.9,79.2,94.0,263.0,31,,73.8,4.3,34.5,45.3,34.9,50.3,2.3,64.3,history,53.281525104729525
Q3 2007,537052,389291,60.4,5.3,179905,6368,173537,273170,64.4,,73.1,5.74,114.0,341.0,11.0,5.0,16.6,8.1,59.2,62.5,74.9,30.5,21.5,118.4,162.6,86.5,86.2,86.5,69.8,7.6,3,69.6,101.4,71.4,4.7,25.2,5.18,54.9,80.8,132.0,402.0,31.8,,75.3,4.1,35.8,48.5,35.6,51.7,1.7,65.1,history,53.7157593787428
Q4 2007,540258,392244,61.1,5.2,183202,9088,174114,270768,65.1,,73.5,5.69,151.0,493.0,9.9,5.0,16.6,8.8,59.9,63.6,88.8,46.7,22.1,112.6,158.9,87,86.2,87.2,70.6,7.5,3,70.2,102.9,71.9,4.8,25.3,4.53,54,80,172.0,503.0,32.5,,76.6,3.7,39,54.9,36.8,51.9,1.7,65.9,history,54.12322484145689
Q1 2008,542804,397800,61.3,5.2,184536,7689,176847,273117,64.3,,66.8,5.35,205.0,726.0,8.8,5.7,14.3,8.6,60.4,64.8,95.8,52.9,26.1,103.7,158.6,87.5,86.9,87.7,71.1,7.4,3,70.7,102.9,71.6,5,22.9,3.19,52.8,73.7,242.0,733.0,33.2,,77.6,3.3,43.1,59.8,37,53.2,1.9,66.6,history,54.88986151969577
Q2 2008,539918,400685,62.6,5.4,189615,9218,180397,279238,62.9,,67.9,5.03,217.0,739.0,7.2,5.7,13.2,8.4,60.9,65,118.1,60.8,20.7,104.4,158.8,87.1,86.3,87.4,72.2,7.5,3,70.6,101.7,72,5.3,23.2,2.08,51.3,74.9,253.0,690.0,33.9,,76.7,3.3,43.4,61,37.4,51.9,2.2,67.3,history,55.2879441000988
Q3 2008,531619,399994,63.3,5.9,190038,7476,182562,276294,59.7,,60.7,5,243.0,873.0,4.9,4.7,8.9,7.1,60.9,64.7,112.2,61.7,25.0,104.8,142.2,86.6,86.1,86.9,72.4,7.7,3.23,70.1,100.7,71.6,6,21.2,2,49.9,73,314.0,832.0,34.7,,75.9,3.3,42.4,59.2,37.7,51.6,2.3,67.3,history,55.192597457790825
Q4 2008,520230,395121,63.4,6.4,185958,3737,182221,277625,56.4,,47.5,3.37,409.0,1928.0,3.1,3.7,3.8,5.3,60.4,61,55.3,57.2,58.3,85.5,114.7,85.2,85.1,85.6,72.3,8.1,2.79,69.2,98.3,70.1,6.9,15.4,1.07,48,70.9,574.0,1760.0,35.5,,74.4,3.9,37.2,50.7,37.7,50.4,2.7,66.5,history,54.52020355335272
Q1 2009,509646,386874,63.2,7.1,180028,5099,174929,273664,54.3,,45.2,1.07,491.0,2323.0,1.6,2.4,2.8,3.9,59.7,56.3,45.9,46.7,44.9,89.2,114.4,82.5,83.4,81.6,71.8,9.1,1.1,68.3,95.4,69.3,8.3,13.7,0.25,46.2,66.6,530.0,1695.0,36.2,,71.8,5,37.2,44.8,37.1,49,3.2,65.6,history,53.38225310601001
Q2 2009,508009,386553,63.9,7.8,176652,4122,172530,280632,54.2,,48.4,0.5,443.0,1907.0,0.8,1.1,-1.2,2.6,59.9,55.5,59.4,27.6,33.1,97,131.4,82.5,83.6,81.8,72.4,9.6,0.27,67.7,93.2,69.1,9.3,15.1,0.25,45.5,54.8,414.0,1279.0,37,,74.4,5.3,40.3,49.3,39.2,51.1,3.2,65.4,history,53.33796038215928
Q3 2009,508398,388596,64.3,7.8,179655,5165,174490,280969,55.6,,53.8,0.5,287.0,1133.0,0.6,-0.7,-3.2,2.6,60.4,57.1,68.1,21.7,25.5,90.4,127.6,82.8,83.7,82.3,72.2,9.9,0.25,67.6,92.1,69.4,9.6,16.8,0.25,45.6,53.4,253.0,903.0,37.9,,74.8,5.4,43.8,55.5,40.2,53.1,3.3,65.7,history,53.61986080218124
Q4 2009,509889,386779,64.7,7.8,174887,7066,167821,283173,57.5,,59.7,0.5,229.0,767.0,0.7,-1.3,-2.5,2.6,61.4,59,74.1,27.9,23.0,93,128.9,83.2,84.4,82.9,72.6,10.1,0.25,68.2,91.7,70.1,9.9,18.4,0.25,45.6,49.5,204.0,719.0,39,,76.2,5.1,45.8,58.8,41.1,53.9,2.3,66.9,history,53.36914466748721
Q1 2010,514595,396176,65.2,8,182662,5736,176926,287108,58.5,,61.9,0.5,189.0,627.0,0.8,-1.8,-4.3,3.4,62.3,61.2,75.7,35.7,20.2,92.6,121.1,83.5,84.6,83.5,72.6,10.3,0.25,68,90.6,70.5,9.8,19.0,0.25,45,51.1,170.0,621.0,40,,77.6,4.7,48.5,61.9,42.1,57,2.2,68,history,54.66577621273754
Q2 2010,520128,401223,66.1,7.9,187384,5821,181563,292339,58.8,,61.6,0.5,199.0,570.0,0.8,-2.3,-4.1,3.1,63.3,63.8,77.6,38.3,26.3,101,119.4,84.3,85,85.3,73.5,10.4,0.25,68.4,92.3,71.2,9.6,19.2,0.25,45,55,176.0,624.0,41,,79,4.6,50.4,64.6,43.1,60.4,2.2,69.1,history,55.362179257206876
Q3 2010,523173,404365,66.3,7.8,188612,6607,182005,292059,58.8,,61.1,0.5,212.0,570.0,0.7,-1.9,-3.4,2.7,64.1,65.2,76.7,43.2,24.3,95.4,125.7,84.7,85.6,86.2,73.4,10.2,0.25,68.7,92.4,71.7,9.5,18.5,0.25,44.3,54.5,184.0,653.0,42,,79.7,4.3,53.1,67.1,44.4,58.8,2.1,70,history,55.79572361340317
Q4 2010,523515,406789,66.9,7.9,190682,7215,183467,294287,58.3,,66.4,0.5,210.0,567.0,0.5,-1.3,-3.4,2.4,64.8,66.4,85.6,52.7,19.3,96.5,125,85.2,86.1,86.7,74,10.2,0.25,69,93.2,72.1,9.5,20.4,0.25,43.8,55.2,170.0,570.0,43.1,,81,4,55.9,73.5,45.4,61,2.2,70.7,history,56.13019577107975
Q1 2011,524955,414806,67.9,7.8,193741,7512,186229,290739,58,,68.7,0.5,201.0,546.0,0.5,-1.4,-2.4,1.9,65.4,67.8,102.9,57,18.5,93.4,127.9,86,87.2,88.3,74.4,10.1,0.25,69.4,92.5,71.9,9,22.0,0.25,43.3,57.2,150.0,479.0,44,,83.2,3.6,60.3,80.2,46.3,62.2,1.9,71.3,history,57.23640999884094
Q2 2011,525418,412364,69,7.9,193228,7680,185548,295279,57.7,,68.5,0.5,196.0,558.0,0.5,-0.7,-1.5,1.8,66,68.4,114.6,57.7,17.4,91.5,128.2,86,87.2,88.5,75.6,10.1,0.47,69.6,94.7,72.4,9.1,22.3,0.25,43.1,56.1,149.0,493.0,45.1,,82.9,3.6,64,87.3,46.8,62,2,71.9,history,56.8994541370232
Q3 2011,527034,416115,69.4,8.3,197809,7191,190618,295097,57.6,,63.1,0.5,260.0,745.0,0.5,-0.3,-2.0,2.3,66.6,69,111.1,54.3,30.4,96,124.3,86,87.5,89,75.4,10.3,0.72,69.3,94.7,72.4,9,20.7,0.25,42.9,55.3,198.0,662.0,45.9,,83,3.4,63.8,89.6,46.8,63.6,2.1,72.7,history,57.41703048332882
Q4 2011,527698,419305,70,8.4,200989,7423,193566,294333,57.6,,62.3,0.5,323.0,889.0,0.6,-0.9,-2.9,2.7,67.2,69.6,107.3,56.8,29.9,98.8,123.4,85.8,87.8,89,76.2,10.7,0.55,68.9,94.6,73.2,8.6,20.7,0.25,42.3,58.8,246.0,753.0,46.6,,83.5,3.3,62.7,88.2,47.6,64,2.1,73.4,history,57.857198050568215
Q1 2012,532300,424540,70.3,8.2,202840,7082,195758,300794,57.7,,67.0,0.5,297.0,820.0,0.7,-0.5,-2.9,3.4,67.8,70.2,115.7,59.4,18.3,99.2,127.6,85.6,87.8,89.2,76.4,11,0.25,68.5,94.1,73.8,8.3,22.8,0.25,42.2,58.7,213.0,625.0,47.4,68.9,83.6,3.3,63.8,87.5,48.3,65.2,2.1,74.1,history,58.579542004956366
Q2 2012,531663,424939,70.9,8,201370,6300,195070,301971,58.1,,64.2,0.5,298.0,808.0,0.8,-0.4,-3.8,4.3,68.3,70.5,105.3,57.1,20.0,102.2,125.2,85.2,87.4,89.3,77.4,11.4,0.25,67.9,94.3,74.1,8.2,22.8,0.25,43.1,58.4,208.0,629.0,48.4,68.4,84.1,3.3,69.7,93.5,48.8,65.8,1.9,74.6,history,58.634597446752146
Q3 2012,536720,430964,71.1,7.8,207474,5999,201475,301653,58,,66.5,0.5,260.0,743.0,0.9,0.1,-3.4,4.9,68.8,71,106.5,56.8,16.2,103.8,128.9,85.1,87.6,89.5,77.3,11.6,0.03,67.6,93.7,74.2,8,23.7,0.25,43.8,59.6,186.0,585.0,49.4,68.5,84.8,3.3,72.9,99.1,49.7,65.2,1.9,75.3,history,59.465948416224656
Q4 2012,536188,433272,71.9,7.8,208710,5865,202845,302753,58.2,,68.0,0.5,210.0,599.0,0.9,1.2,-2.8,5.2,69.3,70.9,107.6,65.3,16.8,101.4,129,84.8,87.6,89.2,78,12,0,67.6,93.3,74.3,7.8,24.0,0.25,44.5,60.5,154.0,542.0,50.3,69,85.7,3.3,77.7,107.7,50.3,66.9,1.9,75.7,history,59.78441448054708
Q1 2013,537974,438283,72.2,7.8,212971,6028,206943,303623,58.5,,73.7,0.5,192.0,511.0,0.7,2.4,-2.7,4.7,69.9,71.6,110,73.7,13.6,97.7,121.2,84.5,87.7,88.7,77.8,12.2,0,66.7,93,75.1,7.7,25.6,0.25,45.6,61.1,145.0,484.0,51.2,71.1,86.4,3.5,81.8,116,51.1,67.5,1.9,76.4,history,60.4758501167341
Q2 2013,541586,442095,72.8,7.7,208887,5882,203005,314558,59,,75.6,0.5,175.0,495.0,0.8,3.3,-3.3,5.0,70.5,72.6,100.2,65.7,14.8,96.4,121.1,85,88.5,89.8,78.5,12.2,0,66.6,93,75.3,7.5,27.2,0.25,47.1,64.3,149.0,465.0,52.1,73.1,86.8,3.5,83.1,118.7,51.8,68.9,2,77,history,61.001843460407
