firm,col_1,col_2,col_3,col_4
Barclays,0.3,16.9,2.7,5.0
HSBC,0.4,4.5,3.3,1.6
Lloyds Banking Group,1.1,12.5,6.7,4.1
Nationwide,0.3,11.1,8.8,–
The Royal Bank of Scotland Group,0.5,10.8,5.1,3.2
Santander UK,0.6,7.9,5.3,4.8
Standard Chartered,–,–,–,1.6
