firm,col_1,col_2,col_3,col_4
Barclays,0.4,4.9,0.2,2.4
HSBC,0.3,0.6,0.3,1.1
Lloyds Banking Group,3.5,3.0,1.3,2.1
Nationwide,0.4,0.4,0.3,–
The Royal Bank of Scotland Group,0.6,1.5,0.9,1.9
Santander UK,0.8,0.8,0.5,0.7
Standard Chartered,–,–,–,0.1
