quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate Retail Deposit volume,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q3 2012,488205,434775,96.1,7.9,209123,305826,59.4,,,,72.6,0.5,260.0,743.0,0.9,0.1,-3.3,4.9,76,76.5,109.9,56.8,16.2,107.1,125.8,88.2,90,89.8,44.3,84.5,11.6,0.03,70,78.3,82.7,8,34.1,0.15,46.9,51,186.0,585.0,56.7,12.5,46.1,86.9,3.3,55.1,68.9,58.3,73.2,1.9,82.4,history,69.008399573355
Q4 2012,487000,436378,97.3,7.8,211513,303120,59.6,,,,74.3,0.5,210.0,599.0,0.9,1.2,-2.8,5.2,76.5,76.5,110.5,65.3,16.8,105,127.9,87.8,89.9,89.4,44.3,85.2,11.9,0,70.1,78.1,82.8,7.8,34.5,0.16,47.7,51.5,154.0,542.0,57.8,11.4,46.7,87.8,3.3,58.9,74.9,59,75.1,1.9,83,history,69.26283109429362
Q1 2013,489236,439170,97.7,7.8,212046,305001,59.9,,,,80.4,0.5,192.0,511.0,0.7,2.4,-2.7,4.8,77.2,77,112.8,73.7,13.6,99.7,123.6,87.5,89.9,89,44,85,12.2,0,69.2,77.8,83.5,7.7,36.9,0.14,48.9,52.4,145.0,484.0,58.9,6,49.3,88.6,3.5,61.9,80.7,59.9,75.8,1.9,83.7,history,69.70598318815551
Q2 2013,492451,443633,98.4,7.7,208597,313770,60.4,,,,82.6,0.5,175.0,495.0,0.8,3.3,-3.3,5.0,77.8,78.2,103,65.7,14.8,99.7,122.3,87.9,90.5,89.9,44.7,85.8,12.2,0,68.9,77.8,83.7,7.5,39.2,0.12,50.4,54.7,149.0,465.0,59.9,5.8,52.4,89,3.5,62.8,82.5,60.8,77.3,2,84.4,history,70.41435990552861
Q3 2013,496229,452953,98.7,7.6,217255,320262,61.1,,,,84.3,0.5,169.0,487.0,0.9,4.5,-2.0,4.4,78.6,79.1,110,65.2,14.4,99.3,123.5,88.2,90.4,90.4,46.1,85.7,12,0,68.9,77.5,84.3,7.2,40.8,0.09,51.7,57.9,154.0,468.0,61.2,11.5,54.8,89.5,3.3,64,83.7,61.8,77.9,1.8,85.1,history,71.89364984635701
Q4 2013,498839,457399,99.3,7.2,217381,324375,62.2,,,,85.7,0.5,148.0,422.0,1.1,4.9,-0.3,4.0,79.3,79.7,109.4,67.6,14.2,100.8,128.9,88.5,91,90.7,45.5,85.9,12,0,68.9,77.5,84.9,6.9,43.1,0.09,52.8,59,142.0,430.0,62.2,7.9,56.5,90.3,3.3,63.9,83.4,63.1,78.6,1.9,85.7,history,72.59932828808695
Q1 2014,503492,462605,99.4,6.8,221758,326957,63.8,,,,87.2,0.5,139.0,358.0,1.4,5.4,-1.3,4.0,79.8,80.8,107.9,60.3,14.8,102.4,131.8,88.8,91.1,91.6,47.3,85.6,12,0,68.9,77.4,84.6,6.7,44.7,0.07,53.6,58.1,124.0,394.0,63.3,9.8,57.4,91.2,3.2,63.6,84.1,63.8,79.1,2.1,86.2,history,73.42563552327502
Q2 2014,507551,466628,100.1,6.3,227660,329619,65.3,,,,87.8,0.5,133.0,327.0,1.7,5.7,0.3,3.6,80.6,81.7,109.8,44.8,12.7,104.1,134.1,89,91.1,91.6,48.8,86.3,11.7,-0.02,69.1,78.4,85.7,6.2,46.3,0.09,54,59.5,112.0,365.0,64.4,9.3,57.6,91,3.2,64.5,84.8,65.3,80,1.9,86.7,history,74.06417451811971
Q3 2014,510988,472925,100.1,6,233180,329651,66.6,,,,87.6,0.5,135.0,375.0,1.8,6.1,0.0,3.7,81.3,82.4,102.2,42.2,13.0,106.8,133,89.4,91.7,92,49.6,86,11.5,-0.12,69.2,79.1,86.7,6.1,48.2,0.09,54.5,61.3,112.0,389.0,65.6,8.8,56.1,92.3,3.3,68.1,85.7,66.5,80.7,1.9,87.1,history,75.06364756075882
Q4 2014,513852,474004,100.2,5.7,232459,330863,67.5,,,,84.9,0.5,146.0,442.0,1.9,6.6,-1.5,4.1,81.9,83.2,76.1,52.9,16.0,107.4,126.1,89.8,91.6,92.8,49.5,86.1,11.5,-0.2,69.2,79,87.1,5.7,49.0,0.1,55.2,62.9,133.0,469.0,66.7,7.9,54.9,92.7,3.3,71.5,86.4,67.5,81.9,1.9,87.6,history,75.23490870305001
Q1 2015,517165,477905,99.5,5.5,233901,335042,68.1,,,,88.8,0.5,136.0,413.0,1.9,7.1,0.0,3.5,82.6,83.6,53.9,47.9,16.6,114.1,120.6,90.3,92.1,92.3,59.9,85.3,11.3,-0.2,69.3,79.2,87.8,5.5,50.3,0.11,55.8,66.4,143.0,490.0,68,8.3,54.9,93.3,3.3,75.4,87.4,68.7,81.6,1.8,88,history,75.85408360210275
