firm,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Barclays,11.5,–,8.6,1.1,–,4.3,–,1.7,0.3,0.4
HSBC,3.7,4.8,1.2,0.3,7.6,7.3,11.1,4.2,2.0,8.5
Lloyds Banking Group,19.1,–,–,0.7,0.1,5.3,–,0.2,0.1,0.1
Nationwide,3.0,–,–,–,–,0.1,–,–,–,–
The Royal Bank of Scotland,4.4,–,–,0.8,–,5.9,–,0.1,0.8,0.7
Santander UK,4.7,–,–,–,–,2.2,–,–,–,–
Standard Chartered,–,1.5,–,–,3.3,0.1,2.0,0.1,0.2,5.0
